frame_index,fps,inference_ms,mean_confidence,object_count
0,66.439,15.051,0.884,3
1,177.308,5.64,0.884,3
2,162.898,6.139,0.883,3
3,126.237,7.922,0.883,3
4,185.113,5.402,0.883,3
5,145.111,6.891,0.884,3
6,178.508,5.602,0.884,3
7,194.435,5.143,0.884,3
8,138.794,7.205,0.882,3
9,190.578,5.247,0.884,3
10,134.844,7.416,0.884,3
11,191.773,5.214,0.884,3
12,146.817,6.811,0.881,3
13,148.595,6.73,0.881,3
14,187.252,5.34,0.881,3
15,127.9,7.819,0.881,3
16,181.192,5.519,0.881,3
17,117.891,8.482,0.881,3
18,187.656,5.329,0.881,3
19,203.749,4.908,0.881,3
20,125.261,7.983,0.881,3
21,201.914,4.953,0.881,3
22,106.103,9.425,0.881,3
23,135.17,7.398,0.881,3
24,213.547,4.683,0.884,3
25,113.736,8.792,0.884,3
26,208.877,4.788,0.884,3
27,170.561,5.863,0.884,3
28,121.913,8.203,0.881,3
29,182.892,5.468,0.883,3
30,148.414,6.738,0.884,3
31,138.771,7.206,0.884,3
32,115.644,8.647,0.882,3
33,192.009,5.208,0.883,3
34,117.579,8.505,0.882,3
35,130.232,7.679,0.883,3
36,175.636,5.694,0.881,3
37,113.789,8.788,0.881,3
38,193.547,5.167,0.881,3
39,185.144,5.401,0.881,3
40,131.323,7.615,0.881,3
41,154.471,6.474,0.881,3
42,161.158,6.205,0.881,3
43,114.055,8.768,0.881,3
44,186.665,5.357,0.881,3
45,181.238,5.518,0.881,3
46,149.347,6.696,0.881,3
47,183.107,5.461,0.881,3
48,119.746,8.351,0.883,3
49,195.779,5.108,0.88,3
50,170.704,5.858,0.882,3
51,138.881,7.2,0.882,3
52,191.905,5.211,0.882,3
53,142.221,7.031,0.882,3
54,197.855,5.054,0.882,3
55,140.4,7.122,0.882,3
56,194.156,5.151,0.88,3
57,146.184,6.841,0.882,3
58,197.029,5.075,0.882,3
59,177.346,5.639,0.882,3
60,142.89,6.998,0.881,3
61,198.373,5.041,0.881,3
62,185.412,5.393,0.881,3
63,146.696,6.817,0.881,3
64,189.125,5.287,0.88,3
65,138.525,7.219,0.859,2
66,195.061,5.127,0.86,2
67,163.127,6.13,0.863,2
68,196.39,5.092,0.863,2
69,194.469,5.142,0.865,2
70,144.069,6.941,0.878,2
71,197.006,5.076,0.886,2
72,130.436,7.667,0.891,2
73,197.215,5.071,0.893,2
74,135.378,7.387,0.892,2
75,188.345,5.309,0.893,2
76,181.686,5.504,0.893,2
77,143.283,6.979,0.892,2
78,196.816,5.081,0.892,2
79,136.206,7.342,0.892,2
80,193.904,5.157,0.886,2
81,135.56,7.377,0.879,2
82,199.108,5.022,0.877,2
83,180.268,5.547,0.863,2
84,136.201,7.342,0.863,2
85,202.54,4.937,0.861,2
86,118.297,8.453,0.881,3
87,184.966,5.406,0.886,3
88,179.578,5.569,0.884,3
89,114.213,8.756,0.884,3
